Date,Price,Min,Max,RSI,K_STOCH,D_STOCH,ROC,MOMENTUM,WILLIAMS,1_moving_avg,7_moving_avg,30_moving_avg,1_exp_moving_avg,7_exp_moving_avg,30_exp_moving_avg,1_wma,7_wma,30_wma,1_dema,7_dema,30_dema,1_tema,7_tema,30_tema
2019-05-20,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-05-21,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-05-22,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-05-23,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-05-27,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-05-28,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-05-29,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-05-30,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-05-31,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-06-03,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-06-05,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-06-06,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-06-07,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-06-10,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-06-11,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-06-12,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-06-13,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-06-17,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-06-18,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-06-19,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-06-20,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-06-21,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-06-24,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-06-25,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-06-26,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-06-27,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-06-28,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-07-01,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-07-02,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-07-03,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-07-04,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-07-05,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-07-08,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-07-09,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-07-10,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-07-11,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-07-12,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-07-15,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-07-16,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-07-17,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-07-18,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-07-19,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-07-22,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-07-23,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-07-24,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-07-25,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-07-26,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-07-29,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-07-30,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-07-31,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-08-01,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-08-05,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-08-06,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-08-07,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-08-08,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-08-09,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-08-12,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-08-13,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-08-14,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-08-15,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-08-16,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-08-19,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-08-20,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-08-21,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-08-22,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-08-23,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-08-26,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-08-27,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-08-29,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-08-30,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-09-02,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-09-03,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-09-04,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-09-05,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-09-06,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-09-10,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-09-11,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-09-12,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-09-13,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-09-16,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-09-17,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-09-18,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-09-19,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-09-20,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-09-23,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-09-24,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-09-25,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-09-26,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-09-27,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-09-30,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-10-01,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-10-02,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-10-03,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-10-04,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-10-07,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-10-08,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-10-09,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-10-10,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-10-14,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-10-15,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-10-16,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-10-17,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-10-18,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-10-21,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-10-22,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-10-24,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-10-25,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-10-28,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-10-29,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-10-30,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-10-31,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-11-01,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-11-04,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-11-05,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-11-06,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-11-07,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-11-08,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-11-11,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-11-12,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-11-13,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-11-14,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-11-15,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-11-18,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-11-19,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-11-20,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-11-21,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-11-22,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-11-25,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-11-26,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-11-27,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-11-28,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-11-29,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-12-02,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-12-03,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-12-04,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-12-05,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-12-06,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-12-10,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-12-11,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-12-12,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-12-13,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-12-16,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-12-17,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-12-18,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-12-19,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-12-20,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-12-23,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-12-24,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-12-25,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-12-26,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-12-27,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2019-12-30,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2020-01-02,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2022-09-14,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2022-09-15,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2022-09-16,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2022-09-19,372.0,,,0.0,,,0.0,0.0,,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
